Date,Time,Latitude,Longitude,Point_num,Chla,PO4,NO3,SST,SSW
19930101,1,-40.25,2.75,1,0.257399917,65.42243063,412.2265692,12.74456692,8.283958435
19930102,2,-40.25,2.75,1,0.256092995,65.48607081,410.31884,12.85068798,8.348418236
19930103,3,-40.25,2.75,1,0.254928619,65.47658056,407.6498995,13.30733013,7.006631374
19930104,4,-40.25,2.75,1,0.253598988,65.45533508,405.0714836,13.36295033,6.234762669
19930105,5,-40.25,2.75,1,0.253804892,65.35579503,402.5961866,13.69116592,7.772184372
19930106,6,-40.25,2.75,1,0.252831846,65.17572373,399.9721537,13.6301918,9.317195892
19930107,7,-40.25,2.75,1,0.252706975,65.01196027,397.9031534,13.49914837,8.596251488
19930108,8,-40.25,2.75,1,0.252517879,64.80601162,395.801219,13.53371143,8.21372509
19930109,9,-40.25,2.75,1,0.251849622,64.61887926,393.0377331,13.62448406,7.787072182
19930110,10,-40.25,2.75,1,0.251696408,64.4428283,389.9156961,13.72806072,9.495141983
19930111,11,-40.25,2.75,1,0.248049542,64.33323175,387.5376053,13.85722065,7.495835781
19930112,12,-40.25,2.75,1,0.24902153,64.16676164,385.6345472,14.0920639,6.879248619
19930113,13,-40.25,2.75,1,0.248495698,63.78323317,381.9797392,14.49989605,9.95416832
19930114,14,-40.25,2.75,1,0.248039722,63.36509585,377.5199652,14.51181507,8.001825333
19930115,15,-40.25,2.75,1,0.248167783,63.24108273,375.4537144,14.56861877,7.985723019
19930116,16,-40.25,2.75,1,0.247006923,62.84128606,371.7538805,14.39590073,10.05301571
19930117,17,-40.25,2.75,1,0.242002398,61.90770239,363.8489656,14.22904968,8.840096474
19930118,18,-40.25,2.75,1,0.241471827,61.43529624,359.5328722,14.45807171,6.469094276
19930119,19,-40.25,2.75,1,0.242090046,61.10242397,356.266386,14.3649826,8.821253777
19930120,20,-40.25,2.75,1,0.238695636,59.87575233,346.2010889,14.13742828,9.608633041
19930121,21,-40.25,2.75,1,0.235062674,58.9874059,338.8114729,14.09402466,8.633770943
19930122,22,-40.25,2.75,1,0.232833833,58.3769834,333.5736952,14.03107738,10.68018532
19930123,23,-40.25,2.75,1,0.227880299,56.748873,320.3461838,13.93762875,9.443876266
19930124,24,-40.25,2.75,1,0.220472321,54.75635618,304.0501165,14.11285305,8.00512886
19930125,25,-40.25,2.75,1,0.203658313,52.8583172,287.6989422,14.18251514,8
